,location_code,fiscal_year,budget_category,budget_assignment,num_positions,service_type,amount
1,M362,2020,Special Needs - Support Services,OCCUPATIONAL THERAPY,1.0,PUSH IN/PULL OUT,"$ 77,181"
2,M362,2020,Special Needs - Support Services,SPEECH,2.0,PUSH IN/PULL OUT,"$ 193,386"
0,M362,2020,Guidance/Social Workers,GUIDANCE COUNSELOR,1.0,,"$ 50,860"
1,M362,2020,Guidance/Social Workers,GUIDANCE COUNSELOR BILINGUAL,1.0,,"$ 103,278"
0,M362,2020,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),1.0,,"$ 39,224"
1,M362,2020,Paraprofessionals,IEP-HEALTH,7.0,,"$ 250,557"
0,M362,2020,School Aides and Other Support Staff,School Aides and Other Support Staff,2.0,,"$ 125,486"
0,M362,2020,Per Diem,ABSENCE COVERAGE,,,"$ 4,500"
1,M362,2020,Per Diem,IEP-ALTERNATE PLACEMENT,,,"$ 95,000"
2,M362,2020,Per Diem,IEP-CRISIS MANAGEMENT(CIT),,,"$ 107,252"
0,M362,2020,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 53,396"
1,M362,2020,Per Session,SUMMER STUDENT PROGRAMS,,,$ 0
0,M362,2020,Pro Rata,ACADEMIC,,,"$ 3,964"
0,M362,2020,OTPS,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,,"$ 2,581"
1,M362,2020,OTPS,DATA PROCESSING REPAIR - CONTRACTUAL,,,"$ 13,087"
2,M362,2020,OTPS,EDUCATIONAL CONSULTANTS,,,"$ 30,000"
3,M362,2020,OTPS,EDUCATIONAL SOFTWARE,,,"$ 15,344"
4,M362,2020,OTPS,EQUIPMENT - GENERAL,,,"$ 10,971"
5,M362,2020,OTPS,FURNITURE (OBJECT 300),,,"$ 4,748"
6,M362,2020,OTPS,INTERNAL DOE SERVICES,,,"$ 4,600"
7,M362,2020,OTPS,LIBRARY BOOKS,,,"$ 4,397"
8,M362,2020,OTPS,NON-CONTRACTUAL SERVICES,,,"$ 47,299"
9,M362,2020,OTPS,SUPPLIES - GENERAL,,,"$ 123,071"
10,M362,2020,OTPS,TELECOMMUNICATION CONTRACTS,,,"$ 4,640"
11,M362,2020,OTPS,TELEPHONE AND OTHER COMMUNICATIONS,,,"$ 2,100"
12,M362,2020,OTPS,TEXTBOOKS,,,"$ 46,041"
13,M362,2020,OTPS,TRANSPORTATION OF STAFF - NON-CONTRACT,,,$ 223
0,M362,2020,Sixth period coverage,Not Available,,,"$ 34,876"
0,M362,2020,People Working Partial Year,People Working Partial Year,,,"$ 13,654"
0,M362,2019,Leadership,HEAD OF SCHOOL,1.0,,"$ 197,450"
1,M362,2019,Leadership,ASST HEAD OF SCHOOL,2.0,,"$ 256,704"
0,M362,2019,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 43,059"
0,M362,2019,Secretary,SCHOOL SECRETARY,1.0,,"$ 56,758"
0,M362,2019,High School Departments,Engineering and Architecture,1.0,SUBJECT SPECIFIC,"$ 81,867"
1,M362,2019,High School Departments,Engineering and Architecture,1.0,WHOLE CLASS,"$ 81,867"
3,M362,2019,High School Departments,ENGLISH LANGUAGE ARTS,1.0,ICT - Special Ed Teacher,"$ 81,867"
4,M362,2019,High School Departments,ENGLISH LANGUAGE ARTS,1.0,SUBJECT SPECIFIC,"$ 81,867"
5,M362,2019,High School Departments,ENGLISH LANGUAGE ARTS,1.0,WHOLE CLASS,"$ 81,867"
7,M362,2019,High School Departments,MATH,1.0,SELF-CONTAINED SP ED,"$ 81,867"
8,M362,2019,High School Departments,MATH,1.0,SUBJECT SPECIFIC,"$ 81,867"
9,M362,2019,High School Departments,MATH,2.0,WHOLE CLASS,"$ 163,734"
11,M362,2019,High School Departments,SCIENCE - BIOLOGY,1.0,WHOLE CLASS,"$ 81,867"
12,M362,2019,High School Departments,SCIENCE - CHEMISTRY,1.0,SUBJECT SPECIFIC,"$ 81,867"
13,M362,2019,High School Departments,SCIENCE - CHEMISTRY,1.0,WHOLE CLASS,"$ 81,867"
15,M362,2019,High School Departments,SOCIAL STUDIES,1.0,ICT - Special Ed Teacher,"$ 81,867"
16,M362,2019,High School Departments,SOCIAL STUDIES,1.0,SUBJECT SPECIFIC,"$ 81,867"
18,M362,2019,High School Departments,SPECIAL EDUCATION,1.0,ICT - Special Ed Teacher,"$ 81,867"
0,M362,2019,Cluster/Quota Teacher,ARTS,1.0,WHOLE CLASS,"$ 81,867"
1,M362,2019,Cluster/Quota Teacher,ENGLISH LANGUAGE ARTS,5.0,WHOLE CLASS,"$ 347,665"
2,M362,2019,Cluster/Quota Teacher,FL - SPANISH,3.0,WHOLE CLASS,"$ 245,601"
3,M362,2019,Cluster/Quota Teacher,HUMANITIES,1.0,ICT - Special Ed Teacher,"$ 81,867"
4,M362,2019,Cluster/Quota Teacher,MATH,1.0,ICT - General Ed Teacher,"$ 42,022"
5,M362,2019,Cluster/Quota Teacher,MATH,1.0,ICT - Special Ed Teacher,"$ 81,867"
6,M362,2019,Cluster/Quota Teacher,MATH,4.0,WHOLE CLASS,"$ 327,468"
8,M362,2019,Cluster/Quota Teacher,MUSIC,1.0,WHOLE CLASS,"$ 81,867"
9,M362,2019,Cluster/Quota Teacher,PHYSICAL EDUCATION,2.0,WHOLE CLASS,"$ 163,734"
10,M362,2019,Cluster/Quota Teacher,SCIENCE - GENERAL SCIENCE,1.0,SELF-CONTAINED SP ED,"$ 81,867"
11,M362,2019,Cluster/Quota Teacher,SCIENCE - GENERAL SCIENCE,2.0,WHOLE CLASS,"$ 163,734"
13,M362,2019,Cluster/Quota Teacher,SELF CONTAINED SP ED,2.0,ICT - Special Ed Teacher,"$ 163,734"
14,M362,2019,Cluster/Quota Teacher,SELF CONTAINED SP ED,1.0,SELF-CONTAINED SP ED,"$ 81,867"
16,M362,2019,Cluster/Quota Teacher,SOCIAL STUDIES,5.0,WHOLE CLASS,"$ 328,835"
17,M362,2019,Cluster/Quota Teacher,TECHNOLOGY,1.0,WHOLE CLASS,"$ 81,867"
0,M362,2019,Special Needs - Support Services,ATTENDANCE,1.0,PUSH IN/PULL OUT,"$ 138,934"
1,M362,2019,Special Needs - Support Services,SETSS,1.0,PUSH IN/PULL OUT,"$ 81,867"
2,M362,2019,Special Needs - Support Services,SPEECH,2.0,PUSH IN/PULL OUT,"$ 187,274"
0,M362,2019,Guidance/Social Workers,GUIDANCE COUNSELOR,1.0,,"$ 99,467"
1,M362,2019,Guidance/Social Workers,GUIDANCE COUNSELOR BILINGUAL,1.0,,"$ 99,506"
0,M362,2019,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),1.0,,"$ 18,972"
1,M362,2019,Paraprofessionals,IEP-HEALTH,6.0,,"$ 216,120"
0,M362,2019,School Aides and Other Support Staff,School Aides and Other Support Staff,2.0,,"$ 117,912"
0,M362,2019,Per Diem,ABSENCE COVERAGE,,,"$ 45,343"
1,M362,2019,Per Diem,IEP-AWAITING PLACEMENT,,,"$ 9,530"
2,M362,2019,Per Diem,IEP-CRISIS MANAGEMENT(CIT),,,"$ 75,166"
3,M362,2019,Per Diem,IEP-HEALTH,,,"$ 44,778"
4,M362,2019,Per Diem,PROFESSIONAL DEVELOPMENT,,,$ 844
0,M362,2019,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 74,010"
1,M362,2019,Per Session,PARENT INVOLVEMENT,,,"$ 3,718"
2,M362,2019,Per Session,SUMMER STUDENT PROGRAMS,,,"$ 6,500"
0,M362,2019,OTPS,Building Permit Fees,,,"$ 1,700"
1,M362,2019,OTPS,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,,"$ 37,000"
2,M362,2019,OTPS,DATA PROCESSING REPAIR - CONTRACTUAL,,,"$ 6,635"
3,M362,2019,OTPS,EDUCATIONAL CONSULTANTS,,,"$ 25,230"
4,M362,2019,OTPS,EDUCATIONAL SOFTWARE,,,"$ 7,150"
5,M362,2019,OTPS,EQUIPMENT - GENERAL,,,"$ 10,655"
6,M362,2019,OTPS,LIBRARY BOOKS,,,"$ 4,367"
7,M362,2019,OTPS,NON-CONTRACTUAL SERVICES,,,"$ 66,219"
8,M362,2019,OTPS,PRINTING SERVICES - CONTRACTUAL,,,"$ 2,000"
9,M362,2019,OTPS,SUPPLIES - GENERAL,,,"$ 106,778"
10,M362,2019,OTPS,TELEPHONE AND OTHER COMMUNICATIONS,,,"$ 2,000"
11,M362,2019,OTPS,TEXTBOOKS,,,"$ 40,609"
12,M362,2019,OTPS,TRANSPORTATION OF PUPILS - CONTRACTUAL,,,"$ 4,500"
13,M362,2019,OTPS,TRANSPORTATION OF STAFF - NON-CONTRACT,,,"$ 14,197"
0,M362,2019,Sixth period coverage,Not Available,,,"$ 26,630"
0,M362,2019,People Working Partial Year,People Working Partial Year,,,"$ 128,543"
0,M362,2019,Setasides,CB GE All Other Salaries Set Aside,,,"$ 7,221"
1,M362,2019,Setasides,CB GE Classroom Teachers Set Aside,,,"$ 32,918"
2,M362,2019,Setasides,CB GE Pupil Support Services Set Aside,,,"$ 1,289"
3,M362,2019,Setasides,CB SE Classroom Teachers Set Aside,,,$ 272
4,M362,2019,Setasides,CB SE Pupil Support Services Set Aside,,,"$ 18,392"
0,M362,2018,Leadership,HEAD OF SCHOOL,1.0,,"$ 168,218"
1,M362,2018,Leadership,ASST HEAD OF SCHOOL,2.0,,"$ 239,015"
0,M362,2018,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 43,059"
0,M362,2018,Secretary,SCHOOL SECRETARY,1.0,,"$ 54,781"
0,M362,2018,High School Departments,Engineering and Architecture,1.0,SUBJECT SPECIFIC,"$ 79,704"
1,M362,2018,High School Departments,Engineering and Architecture,1.0,WHOLE CLASS,"$ 79,704"
3,M362,2018,High School Departments,ENGLISH LANGUAGE ARTS,1.0,ICT - Special Ed Teacher,"$ 79,704"
4,M362,2018,High School Departments,ENGLISH LANGUAGE ARTS,1.0,SUBJECT SPECIFIC,"$ 79,704"
5,M362,2018,High School Departments,ENGLISH LANGUAGE ARTS,1.0,WHOLE CLASS,"$ 79,704"
7,M362,2018,High School Departments,MATH,1.0,SELF-CONTAINED SP ED,"$ 79,704"
8,M362,2018,High School Departments,MATH,1.0,SUBJECT SPECIFIC,"$ 79,704"
9,M362,2018,High School Departments,MATH,3.0,WHOLE CLASS,"$ 239,112"
11,M362,2018,High School Departments,SCIENCE - BIOLOGY,1.0,WHOLE CLASS,"$ 79,704"
12,M362,2018,High School Departments,SCIENCE - CHEMISTRY,1.0,SUBJECT SPECIFIC,"$ 79,704"
13,M362,2018,High School Departments,SCIENCE - CHEMISTRY,1.0,WHOLE CLASS,"$ 79,704"
15,M362,2018,High School Departments,SOCIAL STUDIES,1.0,ICT - Special Ed Teacher,"$ 79,704"
16,M362,2018,High School Departments,SOCIAL STUDIES,1.0,SUBJECT SPECIFIC,"$ 79,704"
18,M362,2018,High School Departments,SPECIAL EDUCATION,1.0,ICT - Special Ed Teacher,"$ 79,704"
0,M362,2018,Cluster/Quota Teacher,ENGLISH LANGUAGE ARTS,1.0,SELF-CONTAINED SP ED,"$ 79,704"
1,M362,2018,Cluster/Quota Teacher,ENGLISH LANGUAGE ARTS,4.0,WHOLE CLASS,"$ 318,816"
3,M362,2018,Cluster/Quota Teacher,FL - SPANISH,3.0,WHOLE CLASS,"$ 239,112"
4,M362,2018,Cluster/Quota Teacher,HUMANITIES,1.0,ICT - Special Ed Teacher,"$ 79,704"
5,M362,2018,Cluster/Quota Teacher,MATH,1.0,ICT - Special Ed Teacher,"$ 79,704"
6,M362,2018,Cluster/Quota Teacher,MATH,5.0,WHOLE CLASS,"$ 398,520"
8,M362,2018,Cluster/Quota Teacher,MUSIC,1.0,WHOLE CLASS,"$ 39,987"
9,M362,2018,Cluster/Quota Teacher,PHYSICAL EDUCATION,2.0,WHOLE CLASS,"$ 159,408"
10,M362,2018,Cluster/Quota Teacher,SCIENCE - GENERAL SCIENCE,1.0,SELF-CONTAINED SP ED,"$ 79,704"
11,M362,2018,Cluster/Quota Teacher,SCIENCE - GENERAL SCIENCE,2.0,WHOLE CLASS,"$ 159,408"
13,M362,2018,Cluster/Quota Teacher,SELF CONTAINED SP ED,2.0,ICT - Special Ed Teacher,"$ 159,408"
14,M362,2018,Cluster/Quota Teacher,SELF CONTAINED SP ED,1.0,SELF-CONTAINED SP ED,"$ 79,704"
16,M362,2018,Cluster/Quota Teacher,SOCIAL STUDIES,5.0,WHOLE CLASS,"$ 398,520"
17,M362,2018,Cluster/Quota Teacher,TECHNOLOGY,1.0,WHOLE CLASS,"$ 79,704"
0,M362,2018,Special Needs - Support Services,SETSS,1.0,PUSH IN/PULL OUT,"$ 55,179"
1,M362,2018,Special Needs - Support Services,SPEECH,2.0,PUSH IN/PULL OUT,"$ 172,190"
0,M362,2018,Guidance/Social Workers,GUIDANCE COUNSELOR,1.0,,"$ 94,548"
1,M362,2018,Guidance/Social Workers,GUIDANCE COUNSELOR BILINGUAL,1.0,,"$ 93,409"
0,M362,2018,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),2.0,,"$ 80,614"
1,M362,2018,Paraprofessionals,IEP-HEALTH,6.0,,"$ 229,312"
0,M362,2018,School Aides and Other Support Staff,School Aides and Other Support Staff,2.0,,"$ 117,912"
0,M362,2018,Per Diem,ABSENCE COVERAGE,,,"$ 46,424"
1,M362,2018,Per Diem,IEP-CRISIS MANAGEMENT(CIT),,,"$ 34,382"
0,M362,2018,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 61,254"
1,M362,2018,Per Session,PARENT INVOLVEMENT,,,"$ 2,015"
0,M362,2018,OTPS,Building Permit Fees,,,"$ 2,000"
1,M362,2018,OTPS,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,,"$ 10,000"
2,M362,2018,OTPS,DATA PROCESSING REPAIR - CONTRACTUAL,,,"$ 5,559"
3,M362,2018,OTPS,EDUC. & REC. FOR YOUTH SVCS CONTRACTS,,,"$ 11,640"
4,M362,2018,OTPS,EDUCATIONAL CONSULTANTS,,,"$ 18,000"
5,M362,2018,OTPS,EDUCATIONAL SOFTWARE,,,"$ 20,922"
6,M362,2018,OTPS,EQUIPMENT - GENERAL,,,"$ 7,402"
7,M362,2018,OTPS,LIBRARY BOOKS,,,"$ 4,219"
8,M362,2018,OTPS,NON-CONTRACTUAL SERVICES,,,"$ 21,785"
9,M362,2018,OTPS,OVERTIME ADMIN,,,"$ 1,155"
10,M362,2018,OTPS,SUPPLIES - GENERAL,,,"$ 96,691"
11,M362,2018,OTPS,TEXTBOOKS,,,"$ 53,301"
12,M362,2018,OTPS,TRANSPORTATION OF STAFF - NON-CONTRACT,,,"$ 9,399"
0,M362,2018,Sixth period coverage,Not Available,,,"$ 25,913"
0,M362,2018,People Working Partial Year,People Working Partial Year,,,"$ 74,076"
0,M318,2022,Leadership,HEAD OF SCHOOL,1.0,,"$ 175,257"
1,M318,2022,Leadership,ASST HEAD OF SCHOOL,1.0,,"$ 129,665"
0,M318,2022,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 49,983"
0,M318,2022,Secretary,School Secretary,1.0,,"$ 81,050"
0,M318,2022,Classroom Teacher,K,1.0,WHOLE CLASS,"$ 161,811"
1,M318,2022,Classroom Teacher,"K,1,2,3,4,5",0.0,WHOLE CLASS,"$ 25,062"
2,M318,2022,Classroom Teacher,1,1.0,WHOLE CLASS,"$ 93,271"
3,M318,2022,Classroom Teacher,2,1.0,WHOLE CLASS,"$ 93,018"
4,M318,2022,Classroom Teacher,3,2.0,WHOLE CLASS,"$ 201,941"
5,M318,2022,Classroom Teacher,4,2.0,WHOLE CLASS,"$ 227,011"
6,M318,2022,Classroom Teacher,5,2.0,WHOLE CLASS,"$ 168,219"
0,M318,2022,Elementary Cluster/Quota,DANCE ALL OTHER,1.0,WHOLE CLASS,"$ 91,524"
1,M318,2022,Elementary Cluster/Quota,ENRICHMENT,1.0,WHOLE CLASS,"$ 93,336"
2,M318,2022,Elementary Cluster/Quota,PHYSICAL EDUCATION,1.0,WHOLE CLASS,"$ 91,355"
0,M318,2022,Special Needs - Support Services,SETSS,1.0,PUSH IN/PULL OUT,"$ 126,996"
1,M318,2022,Special Needs - Support Services,SETSS,1.0,PUSH-IN -special ed,"$ 91,355"
3,M318,2022,Special Needs - Support Services,SPEECH,1.0,PUSH IN/PULL OUT,"$ 103,083"
0,M318,2022,Guidance/Social Workers,Guidance Counselor,1.0,,"$ 113,456"
1,M318,2022,Guidance/Social Workers,School Social Worker,1.0,,"$ 154,225"
0,M318,2022,Paraprofessionals,Class Mgr,0.0,,"$ 10,953"
1,M318,2022,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),8.0,,"$ 351,949"
0,M318,2022,School Aides and Other Support Staff,School Aides and Other Support Staff,0.0,,"$ 115,507"
0,M318,2022,Per Diem,ABSENCE COVERAGE,,,"$ 82,151"
1,M318,2022,Per Diem,IEP-AWAITING PLACEMENT,,,"$ 54,285"
0,M318,2022,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 97,866"
1,M318,2022,Per Session,SUMMER STUDENT PROGRAMS,,,"$ 4,654"
0,M318,2022,OTPS,Curriculum & Staff Development Contracts,,,"$ 1,240"
1,M318,2022,OTPS,Data Processing Repair - Contractual,,,"$ 4,370"
2,M318,2022,OTPS,Educational Consultants,,,"$ 88,958"
3,M318,2022,OTPS,Educational Software,,,"$ 20,008"
4,M318,2022,OTPS,Equipment - General,,,"$ 2,100"
5,M318,2022,OTPS,Library Books,,,"$ 1,164"
6,M318,2022,OTPS,Non-Contractual Services,,,"$ 7,158"
7,M318,2022,OTPS,Supplies - General,,,"$ 67,692"
0,M318,2022,People Working Partial Year,People Working Partial Year,,,"$ 78,104"
0,M318,2021,Leadership,HEAD OF SCHOOL,1.0,,"$ 166,555"
1,M318,2021,Leadership,ASST HEAD OF SCHOOL,1.0,,"$ 121,986"
0,M318,2021,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 49,983"
0,M318,2021,Secretary,School Secretary,1.0,,"$ 75,434"
0,M318,2021,Classroom Teacher,K,1.0,WHOLE CLASS,"$ 86,195"
1,M318,2021,Classroom Teacher,1,2.0,WHOLE CLASS,"$ 182,916"
2,M318,2021,Classroom Teacher,2,1.0,WHOLE CLASS,"$ 84,441"
3,M318,2021,Classroom Teacher,3,2.0,WHOLE CLASS,"$ 186,488"
4,M318,2021,Classroom Teacher,4,2.0,WHOLE CLASS,"$ 215,180"
5,M318,2021,Classroom Teacher,5,2.0,WHOLE CLASS,"$ 175,934"
0,M318,2021,Elementary Cluster/Quota,DANCE ALL OTHER,1.0,WHOLE CLASS,"$ 84,595"
1,M318,2021,Elementary Cluster/Quota,ENRICHMENT,1.0,WHOLE CLASS,"$ 86,255"
2,M318,2021,Elementary Cluster/Quota,PHYSICAL EDUCATION,1.0,WHOLE CLASS,"$ 84,441"
0,M318,2021,Special Needs - Support Services,SETSS,1.0,PUSH IN/PULL OUT,"$ 109,001"
1,M318,2021,Special Needs - Support Services,SETSS,1.0,PUSH-IN -special ed,"$ 84,441"
3,M318,2021,Special Needs - Support Services,SPEECH,1.0,PUSH IN/PULL OUT,"$ 99,109"
0,M318,2021,Guidance/Social Workers,Guidance Counselor,1.0,,"$ 108,845"
0,M318,2021,Paraprofessionals,Class Mgr,0.0,,"$ 3,000"
1,M318,2021,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),8.0,,"$ 338,598"
2,M318,2021,Paraprofessionals,IEP-HEALTH,2.0,,"$ 86,532"
0,M318,2021,School Aides and Other Support Staff,School Aides and Other Support Staff,0.0,,"$ 33,707"
0,M318,2021,Per Diem,ABSENCE COVERAGE,,,"$ 82,668"
0,M318,2021,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 65,523"
1,M318,2021,Per Session,PUPIL PERSONNEL SERVICES,,,"$ 1,492"
2,M318,2021,Per Session,SPECIAL ED INSTRUCTIONAL PGMS,,,$ 779
3,M318,2021,Per Session,SUMMER STUDENT PROGRAMS,,,"$ 1,510"
0,M318,2021,OTPS,Data Processing Repair - Contractual,,,"$ 4,163"
1,M318,2021,OTPS,Educational Consultants,,,$ 700
2,M318,2021,OTPS,Educational Software,,,"$ 10,363"
3,M318,2021,OTPS,Equipment - General,,,"$ 10,170"
4,M318,2021,OTPS,Library Books,,,"$ 1,279"
5,M318,2021,OTPS,Non-Contractual Services,,,"$ 6,397"
6,M318,2021,OTPS,Supplies - General,,,"$ 35,864"
7,M318,2021,OTPS,Textbooks,,,$ 54
0,M318,2020,Leadership,HEAD OF SCHOOL,1.0,,"$ 159,540"
1,M318,2020,Leadership,ASST HEAD OF SCHOOL,1.0,,"$ 116,676"
0,M318,2020,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 49,510"
0,M318,2020,Secretary,SCHOOL SECRETARY,1.0,,"$ 73,451"
0,M318,2020,Classroom Teacher,K,1.0,WHOLE CLASS,"$ 84,163"
1,M318,2020,Classroom Teacher,1,2.0,WHOLE CLASS,"$ 178,582"
2,M318,2020,Classroom Teacher,2,2.0,WHOLE CLASS,"$ 188,838"
3,M318,2020,Classroom Teacher,3,2.0,WHOLE CLASS,"$ 177,003"
4,M318,2020,Classroom Teacher,4,2.0,WHOLE CLASS,"$ 177,408"
5,M318,2020,Classroom Teacher,5,2.0,WHOLE CLASS,"$ 171,779"
0,M318,2020,Elementary Cluster/Quota,DANCE ALL OTHER,1.0,WHOLE CLASS,"$ 82,604"
1,M318,2020,Elementary Cluster/Quota,ENRICHMENT,1.0,WHOLE CLASS,"$ 82,454"
2,M318,2020,Elementary Cluster/Quota,PHYSICAL EDUCATION,1.0,WHOLE CLASS,"$ 82,454"
0,M318,2020,Special Needs - Support Services,SETSS,0.0,PUSH IN/PULL OUT,"$ 38,043"
1,M318,2020,Special Needs - Support Services,SETSS,1.0,PUSH-IN -special ed,"$ 82,454"
3,M318,2020,Special Needs - Support Services,SPEECH,1.0,PUSH IN/PULL OUT,"$ 96,693"
0,M318,2020,Guidance/Social Workers,GUIDANCE COUNSELOR,1.0,,"$ 107,131"
0,M318,2020,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),5.0,,"$ 234,633"
1,M318,2020,Paraprofessionals,IEP-HEALTH,2.0,,"$ 76,394"
0,M318,2020,School Aides and Other Support Staff,School Aides and Other Support Staff,0.0,,"$ 33,395"
0,M318,2020,Per Diem,IEP-CRISIS MANAGEMENT(CIT),,,"$ 48,489"
0,M318,2020,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 74,793"
0,M318,2020,OTPS,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,,"$ 13,900"
1,M318,2020,OTPS,DATA PROCESSING REPAIR - CONTRACTUAL,,,"$ 4,163"
2,M318,2020,OTPS,EDUCATIONAL CONSULTANTS,,,"$ 29,456"
3,M318,2020,OTPS,EDUCATIONAL SOFTWARE,,,"$ 9,564"
4,M318,2020,OTPS,EQUIPMENT - GENERAL,,,"$ 1,327"
5,M318,2020,OTPS,LIBRARY BOOKS,,,"$ 1,292"
6,M318,2020,OTPS,NON-CONTRACTUAL SERVICES,,,"$ 9,596"
7,M318,2020,OTPS,SUPPLIES - GENERAL,,,"$ 36,560"
8,M318,2020,OTPS,TEXTBOOKS,,,"$ 2,815"
0,M318,2020,People Working Partial Year,People Working Partial Year,,,$ 272
0,M318,2019,Leadership,HEAD OF SCHOOL,1.0,,"$ 171,226"
1,M318,2019,Leadership,ASST HEAD OF SCHOOL,1.0,,"$ 134,416"
0,M318,2019,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 46,474"
0,M318,2019,Secretary,SCHOOL SECRETARY,1.0,,"$ 65,153"
0,M318,2019,Classroom Teacher,K,1.0,WHOLE CLASS,"$ 80,663"
1,M318,2019,Classroom Teacher,1,2.0,WHOLE CLASS,"$ 176,007"
2,M318,2019,Classroom Teacher,2,1.0,WHOLE CLASS,"$ 80,663"
3,M318,2019,Classroom Teacher,3,2.0,WHOLE CLASS,"$ 179,156"
4,M318,2019,Classroom Teacher,4,2.0,WHOLE CLASS,"$ 181,326"
5,M318,2019,Classroom Teacher,5,2.0,WHOLE CLASS,"$ 190,006"
0,M318,2019,Elementary Cluster/Quota,DANCE ALL OTHER,1.0,WHOLE CLASS,"$ 80,663"
1,M318,2019,Elementary Cluster/Quota,ENRICHMENT,1.0,WHOLE CLASS,"$ 80,663"
2,M318,2019,Elementary Cluster/Quota,PHYSICAL EDUCATION,1.0,WHOLE CLASS,"$ 42,002"
0,M318,2019,Special Needs - Support Services,SETSS,0.0,PUSH IN/PULL OUT,"$ 23,137"
1,M318,2019,Special Needs - Support Services,SETSS,1.0,PUSH-IN -special ed,"$ 80,663"
3,M318,2019,Special Needs - Support Services,SPEECH,1.0,PUSH IN/PULL OUT,"$ 93,637"
0,M318,2019,Guidance/Social Workers,GUIDANCE COUNSELOR,1.0,,"$ 104,563"
0,M318,2019,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),4.0,,"$ 155,189"
1,M318,2019,Paraprofessionals,IEP-HEALTH,2.0,,"$ 74,159"
0,M318,2019,School Aides and Other Support Staff,School Aides and Other Support Staff,0.0,,"$ 30,748"
0,M318,2019,Per Diem,504,,,"$ 6,200"
1,M318,2019,Per Diem,ABSENCE COVERAGE,,,"$ 28,747"
2,M318,2019,Per Diem,CURRICULUM DEVELOPMENT,,,"$ 3,000"
3,M318,2019,Per Diem,IEP-AWAITING PLACEMENT,,,"$ 2,000"
4,M318,2019,Per Diem,IEP-CRISIS MANAGEMENT(CIT),,,"$ 5,022"
5,M318,2019,Per Diem,PROFESSIONAL DEVELOPMENT,,,$ 859
0,M318,2019,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 89,524"
0,M318,2019,OTPS,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,,"$ 3,000"
1,M318,2019,OTPS,DATA PROCESSING REPAIR - CONTRACTUAL,,,"$ 4,494"
2,M318,2019,OTPS,EDUCATIONAL CONSULTANTS,,,"$ 64,829"
3,M318,2019,OTPS,EDUCATIONAL SOFTWARE,,,"$ 9,412"
4,M318,2019,OTPS,LIBRARY BOOKS,,,"$ 1,377"
5,M318,2019,OTPS,NON-CONTRACTUAL SERVICES,,,"$ 9,616"
6,M318,2019,OTPS,SUPPLIES - GENERAL,,,"$ 47,946"
7,M318,2019,OTPS,TELECOMMUNICATION CONTRACTS,,,$ 270
8,M318,2019,OTPS,TRANSPORTATION OF STAFF - NON-CONTRACT,,,"$ 2,421"
0,M318,2019,People Working Partial Year,People Working Partial Year,,,"$ 94,890"
0,M318,2019,Setasides,CB GE All Other Salaries Set Aside,,,"$ 4,714"
1,M318,2019,Setasides,CB GE Classroom Teachers Set Aside,,,"$ 12,660"
2,M318,2019,Setasides,CB GE Pupil Support Services Set Aside,,,$ 24
3,M318,2019,Setasides,CB SE All Other Salaries Set Aside,,,$ 931
4,M318,2019,Setasides,CB SE Pupil Support Services Set Aside,,,"$ 6,497"
0,M318,2018,Leadership,HEAD OF SCHOOL,1.0,,"$ 142,895"
1,M318,2018,Leadership,ASST HEAD OF SCHOOL,1.0,,"$ 109,692"
0,M318,2018,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 11,967"
0,M318,2018,Secretary,SCHOOL SECRETARY,1.0,,"$ 62,883"
0,M318,2018,Classroom Teacher,K,1.0,WHOLE CLASS,"$ 86,246"
1,M318,2018,Classroom Teacher,1,2.0,WHOLE CLASS,"$ 169,692"
